Title,Artist,Album,Duration,Tag
My Favorite Joke, Chris Rock, Roll With The New (Explicit Version), 05:26,comedy
O.J. I Understand, Chris Rock, Roll With The New (Explicit Version), 05:35,comedy
Chris Rock,, Roll With The New (Explicit Version), 05:35,comedy
Opening, George Carlin, It's Bad for Ya, 01:31,comedy
Computer Dating/Couples Fight, Greg Giraldo, Good Day To Cross A River, 03:20,comedy
Brian Nichols/Lil Jon/MTV Cribs/Bitches, Greg Giraldo, Good Day To Cross A River, 03:32,comedy
Sexual Saturation, Greg Giraldo, Good Day To Cross A River, 04:02,comedy
Magazines, Dave Chappelle, Killin 'Em Softly, 01:54,comedy
The Chicken, Dave Chappelle, Killin 'Em Softly, 02:39,comedy
Sesame Street, Dave Chappelle, Killin 'Em Softly, 03:21,comedy
The Voice, Dave Chappelle, Killin 'Em Softly, 01:30,comedy
Emergency Call, Dave Chappelle, Killin 'Em Softly, 02:36,comedy
Sprinkle Some Crack On Him, Dave Chappelle, Killin 'Em Softly, 02:02,comedy
Race War, Patrice O'Neal, Mr. P, 06:42,comedy
Hate People Touching Me, Patrice O'Neal, Mr. P, 04:27,comedy
A Eulogy Goes South Real Fast, Anthony Jeselnik, Thoughts and Prayers, 03:03,comedy
Holocaust Museum Of Modern Art, Anthony Jeselnik, Thoughts and Prayers, 03:56,comedy
Came Down With The Cancer, Anthony Jeselnik, Thoughts and Prayers, 03:55,comedy
Tear Off A Head Easy, Anthony Jeselnik, Thoughts and Prayers, 04:03,comedy
How to Make a Man Happy, Bill Burr, Walk Your Way Out, 05:24,comedy
Stop Hugging Your Children, Bill Burr, I'm Sorry You Feel That Way, 06:12,comedy
Overpopulation, Bill Burr, I'm Sorry You Feel That Way, 02:28,comedy
China, Bill Burr, Why Do I Do This?, 01:39,comedy
The Unf**kables, Dave Attell, Skanks For The Memories, 02:08,comedy
Lonely Bug, Dave Attell, Skanks For The Memories, 01:54,comedy
Masturbation, Dave Attell, Skanks For The Memories, 01:48,comedy
D**k Jokes, Dave Attell, Skanks For The Memories, 02:47,comedy
Drugs, Dave Attell, Skanks For The Memories, 02:25,comedy
Religion, Dave Attell, Skanks For The Memories, 02:43,comedy
Love, Dave Attell, Skanks For The Memories, 02:27,comedy
Drinking Tips, Dave Attell, Skanks For The Memories, 03:12,comedy
SmiggieBalls2music — Edit, joel ayala, Unknown, 00:19,CWRW Live
SmiggieBalls — Edit, joel ayala, Unknown, 00:17,CWRW Live
Rise and Grind with RW, Unknown, Unknown, 00:32,CWRW Live
Coffee with RW (Morning Vibes), Unknown, Unknown, 00:39,CWRW Live
Have you heard of elf on the shelf-, Unknown, Unknown, 01:05:13,CWRW Live
